VM_Number,CPUUsage_Mean,CPUUsage_StdDev
0,0.15,0.24
1,34.43,3.26
2,33.32,3.32
3,33.39,2.87
4,33.15,5.07
5,32.79,5.03
6,36.45,3.36
7,33.17,4.1
8,34.49,6.12
9,29.49,9.03
10,34.56,2.83
11,32.94,3.52
12,34.77,2.6
13,31.49,6.36
14,32.55,7.44
15,32.72,6.09
16,33.83,6.82
17,33.56,4.31
18,33.92,4.87
19,35.01,4.94
20,35.19,2.66
21,33.63,4.83
22,34.56,5.8
23,34.68,3.7
24,36.6,3.18
25,35.89,2.63
26,31.97,7.04
27,36.12,2.83
28,35.3,4.65
29,34.53,4.74
30,33.21,7.62
31,35.29,3.83
32,31.07,6.45
33,32.89,4.93
34,31.97,7.89
35,35.0,6.53
36,34.63,7.13
37,34.71,5.61
38,33.41,5.4
39,32.96,5.46
40,35.57,3.53
41,39.81,4.9
42,33.86,5.33
43,32.92,7.39
44,37.12,3.51
45,38.3,2.8
46,36.4,4.82
47,34.23,6.43
48,36.01,3.86
49,38.79,2.29
50,38.31,7.82
51,34.27,8.41
52,39.44,5.38
53,39.22,3.13
54,37.92,5.58
55,36.66,4.77
56,38.25,2.58
