VM_Number,RAMUsage_Mean,RAMUsage_StdDev
0,21.53,0.87
1,23.36,0.8
2,24.59,0.8
3,25.77,0.7
4,27.03,0.69
5,28.24,0.66
6,29.56,0.62
7,30.83,0.6
8,32.16,0.58
9,33.48,0.6
10,34.82,0.57
11,36.11,0.57
12,37.46,0.56
13,38.77,0.53
14,40.1,0.51
15,41.41,0.47
16,42.71,0.4
17,44.02,0.41
18,45.34,0.39
19,46.7,0.42
20,48.03,0.39
21,49.38,0.42
22,50.68,0.41
23,52.06,0.41
24,53.33,0.35
25,54.68,0.33
26,56.03,0.32
27,57.43,0.35
28,58.74,0.32
29,60.1,0.35
30,61.45,0.3
31,62.77,0.31
32,64.12,0.32
33,65.46,0.3
34,66.8,0.24
35,68.11,0.2
36,69.51,0.18
37,70.85,0.19
38,72.22,0.18
39,73.59,0.24
40,74.96,0.22
41,76.33,0.23
42,77.67,0.24
43,79.07,0.28
44,80.4,0.26
45,81.75,0.25
46,83.1,0.23
47,84.45,0.25
48,85.82,0.24
49,87.13,0.21
50,88.49,0.25
51,89.81,0.23
52,91.11,0.23
53,92.33,0.18
54,93.59,0.18
55,94.87,0.18
56,96.02,0.1
