VM_Number,ResponseTime_Mean,ResponseTime_StdDev
0,0.0,0.0
1,2.64,0.09
2,2.38,0.05
3,2.39,0.03
4,2.44,0.21
5,2.45,0.26
6,2.47,0.24
7,2.45,0.23
8,2.44,0.22
9,2.45,0.23
10,2.49,0.31
11,2.44,0.18
12,2.45,0.23
13,2.46,0.22
14,2.48,0.23
15,2.48,0.21
16,2.47,0.24
17,2.52,0.26
18,2.48,0.22
19,2.49,0.24
20,2.48,0.19
21,2.5,0.21
22,2.52,0.22
23,2.51,0.23
24,2.5,0.23
25,2.53,0.23
26,2.58,0.38
27,2.52,0.26
28,2.52,0.17
29,2.53,0.23
30,2.52,0.18
31,2.53,0.27
32,2.55,0.27
33,2.54,0.25
34,2.54,0.21
35,2.55,0.21
36,2.52,0.18
37,2.56,0.21
38,2.55,0.25
39,2.54,0.2
40,2.54,0.18
41,2.56,0.25
42,2.56,0.22
43,2.58,0.25
44,2.57,0.23
45,2.6,0.25
46,2.61,0.25
47,2.56,0.2
48,2.59,0.23
49,2.6,0.22
50,2.63,0.23
51,2.63,0.23
52,2.65,0.22
53,2.66,0.24
54,2.69,0.25
55,2.75,0.22
56,2.86,0.23
